timestamp,mq35,mq36,mq37,temp_C,humidity,label
2026-02-24 06:00:00,112,77,81,29.0,53,CLEAN
2026-02-24 06:01:00,94,111,83,25.1,59,CLEAN
2026-02-24 06:02:00,88,70,74,22.2,41,CLEAN
2026-02-24 06:03:00,85,59,75,24.2,43,CLEAN
2026-02-24 06:04:00,136,75,71,23.2,50,CLEAN
2026-02-24 06:05:00,102,56,76,24.8,52,CLEAN
2026-02-24 06:06:00,84,117,69,23.9,61,CLEAN
2026-02-24 06:07:00,69,84,34,23.3,56,CLEAN
2026-02-24 06:08:00,118,83,67,25.4,43,CLEAN
2026-02-24 06:09:00,82,70,89,26.7,40,CLEAN
2026-02-24 06:10:00,108,72,57,27.2,63,CLEAN
2026-02-24 06:11:00,123,63,64,26.7,62,CLEAN
2026-02-24 06:12:00,88,76,50,23.6,61,CLEAN
2026-02-24 06:13:00,133,78,88,26.7,49,CLEAN
2026-02-24 06:14:00,109,110,69,29.1,34,CLEAN
2026-02-24 06:15:00,120,81,64,26.2,39,CLEAN
2026-02-24 06:16:00,94,87,96,25.0,48,CLEAN
2026-02-24 06:17:00,87,98,75,24.9,59,CLEAN
2026-02-24 06:18:00,102,99,57,25.3,51,CLEAN
2026-02-24 06:19:00,63,85,74,26.0,53,CLEAN
2026-02-24 06:20:00,64,71,63,24.4,53,CLEAN
2026-02-24 06:21:00,110,117,73,26.5,54,CLEAN
2026-02-24 06:22:00,52,79,71,30.9,53,CLEAN
2026-02-24 06:23:00,107,79,48,28.3,61,CLEAN
2026-02-24 06:24:00,119,61,95,23.2,59,CLEAN
2026-02-24 06:25:00,154,60,59,26.2,50,CLEAN
2026-02-24 06:26:00,61,81,50,26.9,47,CLEAN
2026-02-24 06:27:00,138,64,64,27.6,45,CLEAN
2026-02-24 06:28:00,105,106,41,26.4,57,CLEAN
2026-02-24 06:29:00,119,55,46,27.0,57,CLEAN
2026-02-24 06:30:00,106,86,57,26.5,57,CLEAN
2026-02-24 06:31:00,82,117,78,23.6,60,CLEAN
2026-02-24 06:32:00,75,95,90,24.4,62,CLEAN
2026-02-24 06:33:00,110,96,104,25.5,48,CLEAN
2026-02-24 06:34:00,77,63,68,26.7,57,CLEAN
2026-02-24 06:35:00,120,80,96,25.5,76,CLEAN
